0.107713758 6.805492627
0.122893345 6.883999684
0.140212119 6.883999684
0.159971545 6.990086343
0.182515573 7.030288983
0.204526373 7.067344491
0.234751893 7.247101243
0.26783436 7.376444633
0.31299246 7.735418115
0.355499598 8.123776822
0.407425541 8.74213244
0.464842083 9.688159803
0.521346699 10.83523574
0.59698575 12.6338882
0.690362195 15.63154577
0.787651653 19.62443638
0.89865165 25.16082018
1.025294349 33.45233439
1.1697842 45.07539603
1.334636318 61.08622814
1.52272026 85.02958138
1.737309976 116.7845216
1.9821408 162.2489163
2.261474466 224.12365
2.580173296 309.5947365
2.943784834 425.215232
3.358638416 581.7864922
3.831955337 794.4896458
4.192368315 948.6159754
